filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
blues.000000.wav,30000.0,0.40128177,0.08696618,0.13364454,0.009269587,2285.4662150687736,1526304.1354550784,2458.8560039900435,481152.22717801103,4870.778880399816,6394702.80085523,0.09649299172794118,0.007008399224806692,-6.5258637e-06,0.00954889,-7.233065e-05,0.010331061,117.45383522727273,-187.84032,9657.655,93.3725,2134.1025,24.465252,1652.1831,14.434834,606.2288,-8.100573,583.23926,10.711684,429.70984,-9.838352,186.14888,3.458174,191.73784,-9.310526,99.37443,3.364726,95.83361,-6.1396456,67.48193,7.5923457,60.067482,-7.2698636,64.40694,1.9819816,55.370216,-5.3863792,64.10857,1.432013,73.30818,-5.018557,75.41131,3.8099377,43.845936,-8.759356,43.631207,-4.0403647,59.195137,blues
blues.000001.wav,30000.0,0.32606345,0.10275622,0.14831777,0.0311663,1207.054377257243,645947.1489127064,1481.5553882167637,709502.3987258426,2429.4936425176566,4693440.229410362,0.04650538772252322,0.0008401788955329929,6.94207e-06,0.033565324,-7.090115e-05,0.010471052,107.666015625,-273.54,12243.957,112.07709,2293.2087,23.115595,1738.5697,5.317363,537.92303,3.9245813,392.0652,1.9229816,524.9896,-12.091301,226.80556,-2.5759418,346.20023,-12.006343,182.10822,-5.720114,192.05357,-6.824872,84.75988,-3.57741,109.962776,-7.501622,84.04202,-5.9130826,75.43704,-4.03238,46.742348,-2.1237032,69.39578,-3.5250225,42.324207,-1.8745283,42.235626,-7.966536,44.95359,-4.0286064,67.80044,blues
classical.00000.wav,30013.333333333332,0.25236058,0.08414862,0.036233008,0.00022101671,1505.3574604811183,44430.73282704199,1559.2288945546175,43765.37312313412,2717.238763866734,299014.0000693897,0.0982227015661253,0.00043139377691147647,-4.712645e-05,0.0012296923,-0.00012159841,6.028911e-05,95.703125,-268.21857,1791.9358,135.68166,188.90141,-34.056377,231.39032,25.616007,169.41429,-12.971723,71.249275,17.903263,74.56209,-9.99086,114.86929,5.634088,65.84176,-14.143673,75.42844,7.4931846,177.21745,-3.9764395,106.70967,8.258308,80.11543,-1.3336009,154.7423,-0.35799506,188.39491,1.0361007,171.72484,3.7968225,86.13082,-0.3184708,100.83574,1.7730546,95.49381,0.88872135,97.09972,-0.83507764,120.92082,classical
country.00000.wav,30081.632653061224,0.38392973,0.08118459,0.24829563,0.00071590074,2798.0656266251635,354624.9722119046,2847.5411814192466,105655.13674872695,6221.38434516059,1796448.6324813587,0.1072048611111111,0.0017496748470965727,-0.00012681892,0.048861574,-0.0012213982,0.0048085777,86.1328125,-23.104954,1016.55884,70.25588,339.2418,3.8055308,235.70625,28.323957,135.39638,13.754286,111.020065,5.728135,107.3091,3.9737794,85.775215,7.4728084,63.285915,2.6279068,61.158566,8.490234,72.16535,-2.3202078,73.24599,2.0890799,41.87508,-3.3720124,62.59061,5.1379585,50.668854,-0.18774131,51.865627,0.37143642,68.5946,0.6120877,54.308323,4.062127,74.348236,0.9079194,68.54761,4.093193,73.602806,country
disco.000000.wav,30000.0,0.3838891,0.101591475,0.12732574,0.008410825,2739.188163335513,1498203.2703730161,2460.869988767054,333219.4647057401,5440.800433557469,4858628.559231305,0.14148894035410217,0.01133399468572772,1.38130545e-05,0.007065262,-2.8683144e-05,0.013298006,123.046875,-138.82645,6477.4014,70.0238,2141.4365,-14.595283,658.0895,7.3779154,362.3711,-1.6818929,194.04169,4.2428293,282.95215,-5.388824,223.21487,13.68409,117.02243,-13.016783,157.84984,7.167695,128.81976,0.13357317,89.67365,0.008493713,145.23965,-5.2643123,90.141014,4.4993386,72.96135,-3.4105594,61.41859,5.062761,63.21444,-10.986168,89.65824,-2.868585,70.230286,-13.567414,63.09251,-2.138512,76.132126,disco
hiphop.000001.wav,30000.0,0.6022643,0.06366452,0.4118075,0.023176823,2361.9605458303868,1575051.1777847565,2719.275681382135,509745.995957508,5390.4174048834175,6822524.2447313275,0.05670109326625387,0.0019148846871636072,5.3291118e-05,0.14297436,-1.3199559e-06,0.028532514,161.4990234375,-108.67371,7372.829,77.00504,1816.6865,48.668804,1139.6664,40.785084,388.9799,11.684732,264.6289,25.597143,259.63974,5.646718,154.84282,21.799038,141.02655,-1.6837204,141.6153,17.727163,103.32314,-3.9549336,91.53873,14.081953,60.82001,-0.972601,46.242912,10.707451,54.331215,-4.357989,52.906708,6.110301,40.37039,-1.2424191,47.52069,4.1320987,41.079433,1.6167864,44.212307,11.247633,59.06865,hiphop
hiphop.000005.wav,30000.0,0.48654014,0.0878868,0.24448504,0.028917743,2001.743628773441,1402704.916348463,2277.0224980924504,785528.041573244,4431.6065360149,6775043.7064497005,0.05680199968556501,0.002376131206563193,-3.93744e-06,0.052353837,-9.146485e-05,0.022357464,107.666015625,-136.10701,13067.666,86.866325,1508.8547,19.428312,1142.0677,29.264065,421.90137,11.640769,294.09763,18.899979,222.93336,7.914503,140.56493,21.6075,180.22502,1.8076055,138.88551,11.06103,121.37678,-0.8352085,89.778,1.9610809,89.2518,-5.312798,93.49748,4.333181,112.92601,-5.677246,70.75276,-0.7691636,92.14234,-8.716112,64.486855,0.22116287,84.73981,-8.926707,64.70681,0.42643493,72.3124,hiphop
hiphop.000003.wav,30000.0,0.46247634,0.08105924,0.12319956,0.010949752,2721.9889804143,820753.6162391329,2780.1315063340976,201180.56251422255,6081.371560111504,2950617.9939115546,0.09519405778347523,0.0028194492923712825,1.8152406e-05,0.013930971,3.1353113e-05,0.0065934737,151.99908088235293,-141.70287,6803.0464,69.67584,1005.83997,9.645647,477.78958,27.958809,254.75249,11.342309,289.04724,15.580659,141.94862,2.5294023,182.98929,20.748985,167.19334,-5.2015104,93.8827,15.836231,58.859253,6.4245434,100.35534,11.4857645,80.25057,2.8199205,82.459724,12.553931,62.162273,-0.44192296,64.41274,7.7200427,42.080536,-5.491857,47.96436,2.8479989,78.96454,-1.391482,50.399776,2.1220253,69.57746,hiphop
hiphop.000002.wav,30000.0,0.4011968,0.09514625,0.15595938,0.013531773,1872.2646563524452,647275.8500330852,1992.00781750723,511775.043099711,3913.876333325271,3976724.360327182,0.08394242514028638,0.0019489662314388203,-4.0193586e-06,0.022710958,-3.8582248e-06,0.007166213,161.4990234375,-158.16617,9982.441,111.593315,1692.2856,-14.087227,1211.8988,8.7862425,694.664,-12.999628,543.5678,7.9800396,561.0501,-2.0616305,275.201,7.509099,224.20784,-1.0182492,196.38458,8.937465,163.24059,0.20295122,82.60347,3.4746857,100.42607,-0.7026232,80.09478,3.315482,94.578575,-2.8227527,60.061867,4.1451097,106.85218,-2.4142835,107.78292,3.5205317,90.48588,-2.341467,83.68601,6.674438,97.72814,hiphop
hiphop.000000.wav,30000.0,0.37765992,0.09279379,0.119306594,0.014146518,2532.6984218712155,740121.8534938617,2447.926829236659,242464.01178353495,5321.334489285024,2624147.733623824,0.10878505647736068,0.004074988533659627,-7.3926217e-06,0.015401099,-3.14435e-08,0.008278514,117.45383522727273,-160.90727,14384.037,70.089005,791.2325,-10.053613,1126.4951,11.703317,448.42667,-13.368657,444.36493,7.8472443,198.62746,-10.477376,204.19308,2.0591555,161.30235,-14.858944,147.36443,-5.4618196,183.40244,-4.838281,111.332214,1.6042655,137.44925,-5.720967,76.65997,2.7198067,91.18171,-3.0823224,79.35884,3.8687053,74.269615,-5.710377,69.07267,2.1164474,67.05245,-0.14864697,40.7823,5.440229,92.95243,hiphop
